TimeMeasure,Potency,Voltage,Charge,Temperature,Misc01
2020-01-11 22:48:36.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:38.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:48:40.0,0.0,126.0,0.0,22.0,51.0
2020-01-11 22:48:41.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:48:43.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:48:45.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:46.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:48.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:48:50.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:48:52.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:53.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:55.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:48:57.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:48:59.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:49:00.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:49:02.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:04.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:05.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:07.0,0.0,124.0,0.0,22.0,52.0
2020-01-11 22:49:10.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:12.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:13.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:15.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:17.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:19.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:49:20.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:49:22.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:24.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:25.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:27.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:29.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:31.0,0.0,126.0,0.0,22.0,52.0
2020-01-11 22:49:32.0,6.0,126.0,49.0,22.0,52.0
2020-01-11 22:49:34.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:36.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:38.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:39.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:49:41.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:43.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:44.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:46.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:48.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:50.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:51.0,0.0,125.0,0.0,22.0,52.0
2020-01-11 22:49:53.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:55.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:49:57.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:49:58.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:00.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:02.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:50:03.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:05.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:07.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:09.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:10.0,0.0,127.0,0.0,22.0,52.0
2020-01-11 22:50:12.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:13.0,0.0,130.0,0.0,22.0,52.0
2020-01-11 22:50:15.0,0.0,128.0,0.0,22.0,52.0
2020-01-11 22:50:17.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:19.0,0.0,129.0,0.0,22.0,52.0
2020-01-11 22:50:20.0,0.0,128.0,0.0,22.0,52.0
